episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
30,1050.0,595,18280,0.2,0.049778280782844596,89.21026283299943,True,False
31,620.0,816,19096,0.2,0.04465311152664214,91.58707458299978,True,False
32,760.0,675,19771,0.2,0.04437005491594651,93.45634120799878,True,False
33,2030.0,824,20595,0.2,0.048992055133708474,95.7975251659991,True,False
34,280.0,403,20998,0.2,0.04723984054704704,96.93618041599984,True,False
35,390.0,522,21520,0.2,0.05482425432979264,98.41680566599825,True,False
36,380.0,539,22059,0.2,0.052670749853045415,99.92381495799782,True,False
37,1030.0,800,22859,0.2,0.05020728192757815,102.14854062499944,True,False
38,280.0,408,23267,0.2,0.047987729005113826,103.29566479099958,True,False
39,790.0,868,24135,0.2,0.047971636401317706,105.68981570799951,True,False
40,660.0,641,24776,0.2,0.0492900076166073,108.3384812080003,True,False
41,920.0,756,25532,0.2,0.053936850139132096,110.47525841599781,True,False
42,710.0,642,26174,0.2,0.0530750252015423,112.26398366599824,True,False
43,270.0,400,26574,0.2,0.053052302170544866,114.36804499999926,True,False
44,340.0,434,27008,0.2,0.05310215360972039,115.57462270799806,True,False
45,660.0,793,27801,0.2,0.0622692237081326,117.7853280829986,True,False
46,870.0,846,28647,0.2,0.05246285214949558,120.17163874999824,True,False
47,1040.0,649,29296,0.2,0.05173956282276866,121.98121220800022,True,False
48,1030.0,677,29973,0.2,0.058851200370834425,123.87289524999869,True,False
49,1420.0,836,30809,0.2,0.05497056356314837,126.22593387499728,True,False
50,480.0,445,31254,0.2,0.055404253631226114,127.7576927079972,True,False
51,590.0,541,31795,0.2,0.05853773639709861,130.12035649999962,True,False
52,670.0,608,32403,0.2,0.05734884192076463,131.88085612499708,True,False
53,320.0,412,32815,0.2,0.060023366817209906,133.1253301659999,True,False
54,600.0,671,33486,0.2,0.06367608770406583,135.0941893329982,True,False
55,430.0,590,34076,0.2,0.06818619041980521,136.75316933299837,True,False
56,1040.0,922,34998,0.2,0.06279908706150625,139.3534982909987,True,False
57,1340.0,719,35717,0.2,0.06794585323789054,141.3569140829968,True,False
58,1150.0,837,36554,0.2,0.07077497701075944,143.68038308299947,True,False
59,1030.0,1376,37930,0.2,0.06327133085768194,147.522239832997,True,False
60,990.0,745,38675,0.2,0.061569745812605145,149.61040466600025,True,False
61,290.0,371,39046,0.2,0.07190203012758366,150.66770233299758,True,False
62,720.0,600,39646,0.2,0.06287309449786942,152.38258949999727,True,False
63,980.0,738,40384,0.2,0.06477244177682175,154.44911225000033,True,False
64,360.0,509,40893,0.2,0.07374880547217262,155.86741604099734,True,False
65,1060.0,511,41404,0.2,0.06713109913107473,157.3686881249996,True,False
66,900.0,556,41960,0.2,0.06961382121490918,158.92561445799947,True,False
67,1090.0,826,42786,0.2,0.06889281373977371,161.24535920799826,True,False
68,650.0,622,43408,0.2,0.07425990116854127,163.24578137499702,True,False
69,1320.0,965,44373,0.2,0.06858408946884,165.90278162499817,True,False
70,1040.0,621,44994,0.2,0.06717046751610695,167.63361816599718,True,False
71,1310.0,615,45609,0.2,0.0724133927217842,169.34218045799935,True,False
72,1380.0,765,46374,0.2,0.06348651006856826,171.4976383329995,True,False
73,600.0,526,46900,0.2,0.06450875603001226,172.9715218329984,True,False
74,310.0,329,47229,0.2,0.06895407305167216,173.90507824999804,True,False
75,520.0,634,47863,0.2,0.07595635467810155,175.66146674999982,True,False
76,2110.0,665,48528,0.2,0.06890355708066397,179.85947941599807,True,False
77,790.0,601,49129,0.2,0.06976561181247234,181.5593518329988,True,False
78,1260.0,769,49898,0.2,0.06645898189647899,184.03211699999883,True,False
79,340.0,555,50453,0.2,0.07225290458086583,185.59123183299744,True,False
80,1370.0,804,51257,0.2,0.07293796160290787,187.89089424999838,True,False
81,630.0,570,51827,0.2,0.06945658251512009,189.6023304579976,True,False
82,530.0,477,52304,0.2,0.07177467091629902,192.46653370799686,True,False
83,450.0,388,52692,0.2,0.07023374832321688,193.97494133299915,True,False
84,520.0,453,53145,0.2,0.07803329859604746,196.78032841599997,True,False
85,490.0,504,53649,0.2,0.08127543937769674,200.24220112499825,True,False
86,280.0,347,53996,0.2,0.0722621439624278,202.60149595799885,True,False
87,660.0,594,54590,0.2,0.08519910293555744,206.5425834159978,True,False
